Zelle;Spannung;Abkürzung;Datum
B-00;3.516923;B;24.07.2024
B-01;3.516576;B;24.07.2024
B-02;3.516303;B;24.07.2024
B-03;3.517623;B;24.07.2024
B-04;3.516086;B;24.07.2024
B-05;3.516162;B;24.07.2024
B-06;3.516044;B;24.07.2024
B-07;3.51661;B;24.07.2024
B-08;3.516884;B;24.07.2024
B-09;3.516338;B;24.07.2024
B-10;3.515991;B;24.07.2024
B-11;3.517233;B;24.07.2024
PF-00;3.51973;PF;24.07.2024
PF-01;3.52093;PF;24.07.2024
PF-02;3.519089;PF;24.07.2024
PF-03;3.51979;PF;24.07.2024
PF-04;3.518717;PF;24.07.2024
PF-05;3.521202;PF;24.07.2024
PF-06;3.519305;PF;24.07.2024
PF-07;3.52043;PF;24.07.2024
PF-08;3.519778;PF;24.07.2024
PF-09;3.519205;PF;24.07.2024
PF-10;3.52016;PF;24.07.2024
PF-11;3.51959;PF;24.07.2024
BD-00;3.517418;BD;24.07.2024
BD-01;3.516378;BD;24.07.2024
BD-02;3.516663;BD;24.07.2024
BD-03;3.515987;BD;24.07.2024
BD-04;3.517603;BD;24.07.2024
BD-05;3.516885;BD;24.07.2024
BD-06;3.516902;BD;24.07.2024
BD-07;3.518063;BD;24.07.2024
BD-08;3.517967;BD;24.07.2024
BD-09;3.517227;BD;24.07.2024
BD-10;3.51786;BD;24.07.2024
BD-11;3.51837;BD;24.07.2024
BD-12;3.517317;BD;24.07.2024
B-00;3.514959;B;29.07.2024
B-01;3.514447;B;29.07.2024
B-02;3.514131;B;29.07.2024
B-03;3.515626;B;29.07.2024
B-04;3.514128;B;29.07.2024
B-05;3.514317;B;29.07.2024
B-06;3.513963;B;29.07.2024
B-07;3.514565;B;29.07.2024
B-08;3.514816;B;29.07.2024
B-09;3.514601;B;29.07.2024
B-10;3.5139;B;29.07.2024
B-11;3.51518;B;29.07.2024
PF-00;3.51749;PF;29.07.2024
PF-01;3.518633;PF;29.07.2024
PF-02;3.516893;PF;29.07.2024
PF-03;3.517545;PF;29.07.2024
PF-04;3.516408;PF;29.07.2024
PF-05;3.518929;PF;29.07.2024
PF-06;3.517076;PF;29.07.2024
PF-07;3.518188;PF;29.07.2024
PF-08;3.517481;PF;29.07.2024
PF-09;3.516973;PF;29.07.2024
PF-10;3.517966;PF;29.07.2024
PF-11;3.517365;PF;29.07.2024
BD-00;3.515949;BD;29.07.2024
BD-01;3.514907;BD;29.07.2024
BD-02;3.515186;BD;29.07.2024
BD-03;3.514463;BD;29.07.2024
BD-04;3.516122;BD;29.07.2024
BD-05;3.515388;BD;29.07.2024
BD-06;3.514619;BD;29.07.2024
BD-07;3.516673;BD;29.07.2024
BD-08;3.516531;BD;29.07.2024
BD-09;3.515773;BD;29.07.2024
BD-10;3.516458;BD;29.07.2024
BD-11;3.517034;BD;29.07.2024
BD-12;3.515966;BD;29.07.2024
B-00;3.514688;B;31.07.2024
B-01;3.514132;B;31.07.2024
B-02;3.513776;B;31.07.2024
B-03;3.515335;B;31.07.2024
B-04;3.51377;B;31.07.2024
B-05;3.514056;B;31.07.2024
B-06;3.513629;B;31.07.2024
B-07;3.514233;B;31.07.2024
B-08;3.514435;B;31.07.2024
B-09;3.514258;B;31.07.2024
B-10;3.513549;B;31.07.2024
B-11;3.514833;B;31.07.2024
PF-00;3.517185;PF;31.07.2024
PF-01;3.518305;PF;31.07.2024
PF-02;3.516525;PF;31.07.2024
PF-03;3.51722;PF;31.07.2024
PF-04;3.516126;PF;31.07.2024
PF-05;3.518611;PF;31.07.2024
PF-06;3.516795;PF;31.07.2024
PF-07;3.517823;PF;31.07.2024
PF-08;3.51709;PF;31.07.2024
PF-09;3.516563;PF;31.07.2024
PF-10;3.517588;PF;31.07.2024
PF-11;3.51698;PF;31.07.2024
BD-00;3.51592;BD;31.07.2024
BD-01;3.514882;BD;31.07.2024
BD-02;3.515065;BD;31.07.2024
BD-03;3.514385;BD;31.07.2024
BD-04;3.516062;BD;31.07.2024
BD-05;3.515358;BD;31.07.2024
BD-06;3.514578;BD;31.07.2024
BD-07;3.51662;BD;31.07.2024
BD-08;3.516518;BD;31.07.2024
BD-09;3.515662;BD;31.07.2024
BD-10;3.516363;BD;31.07.2024
BD-11;3.516873;BD;31.07.2024
BD-12;3.51584;BD;31.07.2024
B-00;3.514565;B;01.08.2024
B-01;3.513998;B;01.08.2024
B-02;3.513644;B;01.08.2024
B-03;3.51522;B;01.08.2024
B-04;3.513638;B;01.08.2024
B-05;3.513931;B;01.08.2024
B-06;3.5135;B;01.08.2024
B-07;3.514097;B;01.08.2024
B-08;3.514301;B;01.08.2024
B-09;3.514125;B;01.08.2024
B-10;3.513406;B;01.08.2024
B-11;3.514695;B;01.08.2024
PF-00;3.5171;PF;01.08.2024
PF-01;3.518212;PF;01.08.2024
PF-02;3.516409;PF;01.08.2024
PF-03;3.517134;PF;01.08.2024
PF-04;3.516012;PF;01.08.2024
PF-05;3.518515;PF;01.08.2024
PF-06;3.516712;PF;01.08.2024
PF-07;3.51779;PF;01.08.2024
PF-08;3.517032;PF;01.08.2024
PF-09;3.516486;PF;01.08.2024
PF-10;3.517525;PF;01.08.2024
PF-11;3.516886;PF;01.08.2024
BD-00;3.515813;BD;01.08.2024
BD-01;3.514776;BD;01.08.2024
BD-02;3.51495;BD;01.08.2024
BD-03;3.514226;BD;01.08.2024
BD-04;3.515961;BD;01.08.2024
BD-05;3.51525;BD;01.08.2024
BD-06;3.514462;BD;01.08.2024
BD-07;3.516518;BD;01.08.2024
BD-08;3.516401;BD;01.08.2024
BD-09;3.515557;BD;01.08.2024
BD-10;3.516258;BD;01.08.2024
BD-11;3.516773;BD;01.08.2024
BD-12;3.515735;BD;01.08.2024
BD-00;3.515815;BD;02.08.2024
BD-01;3.514783;BD;02.08.2024
BD-02;3.514954;BD;02.08.2024
BD-03;3.514277;BD;02.08.2024
BD-04;3.515965;BD;02.08.2024
BD-05;3.515252;BD;02.08.2024
BD-06;3.514466;BD;02.08.2024
BD-07;3.51652;BD;02.08.2024
BD-08;3.516412;BD;02.08.2024
BD-09;3.515564;BD;02.08.2024
BD-10;3.516259;BD;02.08.2024
BD-11;3.516775;BD;02.08.2024
BD-12;3.515736;BD;02.08.2024
PF-00;3.517093;PF;02.08.2024
PF-01;3.518188;PF;02.08.2024
PF-02;3.516398;PF;02.08.2024
PF-03;3.517124;PF;02.08.2024
PF-04;3.516002;PF;02.08.2024
PF-05;3.518506;PF;02.08.2024
PF-06;3.516699;PF;02.08.2024
PF-07;3.517775;PF;02.08.2024
PF-08;3.517005;PF;02.08.2024
PF-09;3.516464;PF;02.08.2024
PF-10;3.517501;PF;02.08.2024
PF-11;3.516848;PF;02.08.2024
B-00;3.514545;B;02.08.2024
B-01;3.513959;B;02.08.2024
B-02;3.51362;B;02.08.2024
B-03;3.515195;B;02.08.2024
B-04;3.513613;B;02.08.2024
B-05;3.513908;B;02.08.2024
B-06;3.513465;B;02.08.2024
B-07;3.51407;B;02.08.2024
B-08;3.514276;B;02.08.2024
B-09;3.514095;B;02.08.2024
B-10;3.51338;B;02.08.2024
B-11;3.514661;B;02.08.2024
