level_0,index,Time[h],DataSet,t-Step[h],Line,Command,U[V],I[A],Ah[Ah],Ah-Step,Wh[Wh],T1[°C],Cyc-Count,State,Beschriftung,Zellkürzel,Ziffern,Plan,Wh[Wh]_Cal,Ah[Ah]_Cal,Nummerierung
0,2284,6.28293600666667,2285,3.46357982546296,8,Discharge,2.49979644163942,-0.899995949134438,-0.702195641508886,-3.11722239236566,-1.57591453929021,37.59538,1,2,BD12,BD,12,P00-CalBar,-11.732647117239722,0.0,9
1,4371,12.0540410971296,4373,3.46351044898148,8,Discharge,2.49960553004314,-0.899995949134438,-0.694857955437746,-3.11715988019938,-0.972968615953978,37.54605,2,2,BD12,BD,12,P00-CalBar,-11.303304229344077,0.5674764398812204,9
2,6450,17.8005584759259,6452,3.46246067962963,8,Discharge,2.49979644163942,-0.8999869448013,-0.688379747019563,-3.11621507536505,-0.397904616328064,37.50657,3,2,BD12,BD,12,P00-CalBar,-11.307060485527527,0.4729485171893977,9
3,8520,23.5305240857407,8524,3.46055599185185,8,Discharge,2.49960553004314,-0.8999869448013,-0.682120583402845,-3.11450085839326,0.163379210618438,37.47696,4,2,BD12,BD,12,P00-CalBar,-11.30584208431768,0.30150204636947286,9
4,10588,29.2476544139815,10592,3.45503399435185,8,Discharge,2.49960553004314,-0.8999869448013,-0.673669095521247,-3.1095310649711,0.72654952616477,37.29605,5,2,BD12,BD,12,P00-CalBar,-11.291174344247885,-0.19608371130552804,9
0,1035,2.8193561812037,1036,0.584831716388889,7,Charge,4.20005511807448,0.158780665220717,2.41502675085677,0.306782183644236,9.71536223915345,36.0888,1,2,BD12,BD,12,P00-CalBar,11.972959912661992,0.0,9
1,3122,8.59053064814815,3124,0.525232685462963,7,Charge,4.20005511807448,0.158769875887618,2.42230192476163,0.304741760954889,10.3324225468807,36.09538,2,2,BD12,BD,12,P00-CalBar,11.909483248158821,-0.16284226507576882,9
2,5201,14.3380977962963,5203,0.498099350277778,7,Charge,4.20005511807448,0.158842902219367,2.42783532834548,0.296554218086988,10.9112184024628,36.10855,3,2,BD12,BD,12,P00-CalBar,11.885140342212265,-0.3531996084435107,9
3,7274,20.0699680938889,7276,0.479490252592593,7,Charge,4.20005511807448,0.15883814221947,2.43238027499042,0.287947543353145,11.4713036662588,36.125,4,2,BD12,BD,12,P00-CalBar,11.869930127119565,-0.5549983170793915,9
4,9342,25.7926204196296,9346,0.47105704037037,7,Charge,4.20005511807448,0.158803513220222,2.43586196944985,0.283421074446217,12.0198347032875,36.02302,5,2,BD12,BD,12,P00-CalBar,11.857194426074907,-0.8328224900743475,9
