Beschriftung;Nummerierung;Zellchemie;Spannung;Bezeichnung;Zellkürzel;Datum
PF-00;0;NCA;3.517185;NCR18650PF;PF;31.07.2024
PF-01;1;NCA;3.518305;NCR18650PF;PF;31.07.2024
PF-02;2;NCA;3.516525;NCR18650PF;PF;31.07.2024
PF-03;3;NCA;3.51722;NCR18650PF;PF;31.07.2024
PF-04;4;NCA;3.516126;NCR18650PF;PF;31.07.2024
PF-05;5;NCA;3.518611;NCR18650PF;PF;31.07.2024
PF-06;6;NCA;3.516795;NCR18650PF;PF;31.07.2024
PF-07;7;NCA;3.517823;NCR18650PF;PF;31.07.2024
PF-08;8;NCA;3.51709;NCR18650PF;PF;31.07.2024
PF-09;9;NCA;3.516563;NCR18650PF;PF;31.07.2024
PF-10;10;NCA;3.517588;NCR18650PF;PF;31.07.2024
PF-11;11;NCA;3.51698;NCR18650PF;PF;31.07.2024
BD-00;0;NCA;3.51592;NCR18650BD;BD;31.07.2024
BD-01;1;NCA;3.514882;NCR18650BD;BD;31.07.2024
BD-02;2;NCA;3.515065;NCR18650BD;BD;31.07.2024
BD-03;3;NCA;3.514385;NCR18650BD;BD;31.07.2024
BD-04;4;NCA;3.516062;NCR18650BD;BD;31.07.2024
BD-05;5;NCA;3.515358;NCR18650BD;BD;31.07.2024
BD-06;6;NCA;3.514578;NCR18650BD;BD;31.07.2024
BD-07;7;NCA;3.51662;NCR18650BD;BD;31.07.2024
BD-08;8;NCA;3.516518;NCR18650BD;BD;31.07.2024
BD-09;9;NCA;3.515662;NCR18650BD;BD;31.07.2024
BD-10;10;NCA;3.516363;NCR18650BD;BD;31.07.2024
BD-11;11;NCA;3.516873;NCR18650BD;BD;31.07.2024
BD-12;12;NCA;3.51584;NCR18650BD;BD;31.07.2024
B-00;0;NCA;3.514688;NCR18650B;B;31.07.2024
B-01;1;NCA;3.514132;NCR18650B;B;31.07.2024
B-02;2;NCA;3.513776;NCR18650B;B;31.07.2024
B-03;3;NCA;3.515335;NCR18650B;B;31.07.2024
B-04;4;NCA;3.51377;NCR18650B;B;31.07.2024
B-05;5;NCA;3.514056;NCR18650B;B;31.07.2024
B-06;6;NCA;3.513629;NCR18650B;B;31.07.2024
B-07;7;NCA;3.514233;NCR18650B;B;31.07.2024
B-08;8;NCA;3.514435;NCR18650B;B;31.07.2024
B-09;9;NCA;3.514258;NCR18650B;B;31.07.2024
B-10;10;NCA;3.513549;NCR18650B;B;31.07.2024
B-11;11;NCA;3.514833;NCR18650B;B;31.07.2024
